name,date_of_birth,phone,credit_card,email,address
Valeria,20000419,(+57) 304 602 88 93,4111111111111111,vrllscbastian@gmail.com,carrera 26 b1 #76 16
Camilo,20000527,(+57) 304 602 88 93,5555555555554444,laura@gmail.com,direccion
Luis,200000917,(+57) 313 500 8893,3530111333300000,luis@gmail.com,direccion
Sebas,20010917,(+57) 3135008893,371449635398431,sebas@gmail.com,direccion
Juan,20010917,(+57) 313 411 77 93,371449635398431,juan@gmail.com,direccion
Focus,1889-05-12,(+55) 313-444-14-78,6011435730460078502,focus@gmail.com,direccion
Valentina,1999-04-13,(+41) 147-124-77,6011435730460078502,valentina@gmail.com,direccion
Auron,20051214,(+15) 200 456 12 45,4111111111114567,auron@hotmail.es,direccion
Bjean,19950714,(+57) 304 602 45 44,371449635398431,Bjean@hotmail.com,direccion
contacto1,12340101,(+55) 304 258 45 41,3530111333300000,contacto1@email.com,direccion
contacto2,18890215,(+12) 314-478-12-12,6011435730460078502,contacto2@email.com,direccion
contacto3,18890215,(+14) 314-478-12-12,6011435730460078502,contacto3@email.com,direccion
contacto4,1889021,(+11) 314-478-12-12,6011111,contacto4@email.com,direccion
contacto5,18890211,(+16) 315-478-12-12,3530111333300000,contacto5,direccion
